X,Y,OBJECTID,Concelho,ConfirmadosAcumulado,Recuperados,Obitos,Data,Dicofre
-8.27492147199996,41.2853556760001,9285,LOUSADA,38,0,0,2020/03/27 12:00:00,1305
-9.19307693899998,38.6351475800001,9286,ALMADA,35,0,0,2020/03/27 12:00:00,1503
-7.73870894099997,41.311627597,9287,VILA REAL,34,0,0,2020/03/27 12:00:00,1714
-9.22940074499996,38.759739531,9288,AMADORA,31,0,0,2020/03/27 12:00:00,1115
-8.46819361699994,40.842381082,9289,OLIVEIRA DE AZEMÉIS,30,0,0,2020/03/27 12:00:00,0113
-9.10889166699997,38.6048511120001,9290,SEIXAL,29,0,0,2020/03/27 12:00:00,1510
-8.49532314299995,40.7002437370001,9291,ALBERGARIA-A-VELHA,28,0,0,2020/03/27 12:00:00,0102
-9.15138004099998,38.8611177380001,9292,LOURES,28,0,0,2020/03/27 12:00:00,1107
-8.20132092499995,41.35056122,9293,FELGUEIRAS,26,0,0,2020/03/27 12:00:00,1303
-7.91831926199995,37.0556576060001,9294,FARO,26,0,0,2020/03/27 12:00:00,0805
-8.23261884499993,37.1337850570001,9295,ALBUFEIRA,22,0,0,2020/03/27 12:00:00,0801
-8.38011918399997,41.288522384,9296,PAÇOS DE FERREIRA,22,0,0,2020/03/27 12:00:00,1309
-7.90554440599993,40.6881545730001,9297,VISEU,21,0,0,2020/03/27 12:00:00,1823
-8.6236398,41.5368588480001,9298,BARCELOS,20,0,0,2020/03/27 12:00:00,0302
-6.73521475899997,41.7712239430001,9299,BRAGANÇA,20,0,0,2020/03/27 12:00:00,0402
-8.44426729899993,41.3207422450001,9300,SANTO TIRSO,20,0,0,2020/03/27 12:00:00,1314
-8.75949017599993,41.717139123,9301,VIANA DO CASTELO,19,0,0,2020/03/27 12:00:00,1609
-8.39573265499996,41.1818975210001,9302,PAREDES,18,0,0,2020/03/27 12:00:00,1310
-9.19907097799995,38.7978557340001,9303,ODIVELAS,18,0,0,2020/03/27 12:00:00,1116
-8.6261922799999,40.9948388070001,9304,ESPINHO,17,0,0,2020/03/27 12:00:00,0107
-9.27618968599995,38.7169092550001,9305,OEIRAS,17,0,0,2020/03/27 12:00:00,1110
-8.58336393499997,37.191398737,9306,PORTIMÃO,17,0,0,2020/03/27 12:00:00,0811
-8.71798188,41.419305782,9307,PÓVOA DE VARZIM,15,0,0,2020/03/27 12:00:00,1313
-8.68331163499994,41.3377724960001,9308,VILA DO CONDE,15,0,0,2020/03/27 12:00:00,1316
-8.04691642699993,37.2252592520001,9309,LOULÉ,14,0,0,2020/03/27 12:00:00,0808
-8.67772409499997,39.9266197090001,9310,POMBAL,13,0,0,2020/03/27 12:00:00,1015
-8.70011338499995,40.606175412,9311,ÍLHAVO,12,0,0,2020/03/27 12:00:00,0110
-8.29353547599993,41.150805522,9312,PENAFIEL,11,0,0,2020/03/27 12:00:00,1311
-8.39540551699997,40.5858772550001,9313,ÁGUEDA,10,0,0,2020/03/27 12:00:00,0101
-8.57578489,40.7615444320001,9314,ESTARREJA,9,0,0,2020/03/27 12:00:00,0108
-7.93983940199996,41.0760559890001,9315,RESENDE,9,0,0,2020/03/27 12:00:00,1813
-8.49069668799996,40.8956721870001,9316,SÃO JOÃO DA MADEIRA,9,0,0,2020/03/27 12:00:00,0116
-8.72895002399997,39.3370532070001,9317,SANTARÉM,9,0,0,2020/03/27 12:00:00,1416
-8.88785857699997,38.5162025820001,9318,SETÚBAL,9,0,0,2020/03/27 12:00:00,1512
-8.36429993799993,41.9029178700001,9319,ARCOS DE VALDEVEZ,8,0,0,2020/03/27 12:00:00,1601
-8.65810567499994,40.214682614,9320,MONTEMOR-O-VELHO,8,0,0,2020/03/27 12:00:00,0610
-8.56724672,41.3111358020001,9321,TROFA,8,0,0,2020/03/27 12:00:00,1318
-7.87014704799998,38.533389787,9322,ÉVORA,8,0,0,2020/03/27 12:00:00,0705
-9.30864143599996,38.96122088,9323,MAFRA,8,0,0,2020/03/27 12:00:00,1109
